"","c100_4","c100_4_pooled","c100_4_pooled_supp","c150_4","c150_4_pooled_supp","c150_4_aian","c150_4_aianold","c150_4_asian","c150_4_api","c150_4_black","c150_4_blacknh","c150_4_hisp","c150_4_hispold","c150_4_nhpi","c150_4_nra","c150_4_2mor","c150_4_unkn","c150_4_white","c150_4_whitenh","c150_4_pooled","c200_4_pooled_supp","c100_l4","c100_l4_pooled","c100_l4_pooled_supp","c150_l4","c150_l4_pooled_supp","c150_l4_aian","c150_l4_aianold","c150_l4_asian","c150_l4_api","c150_l4_blacknh","c150_l4_black","c150_l4_hisp","c150_l4_hispold","c150_l4_nhpi","c150_l4_nra","c150_l4_2mor","c150_l4_unkn","c150_l4_whitenh","c150_l4_white","c150_l4_pooled","c200_l4","c200_l4_pooled","c200_l4_pooled_supp","c150_4_loannopell","c150_l4_loannopell","c150_4_pell","c150_l4_pell","c150_4_noloannopell","c150_l4_noloannopell","year"
"165",0.4048,0.3621,0.3621,0.5271,0.4779,0,NA,0.8889,NA,0.4159,NA,0.5962,NA,0,0.5556,0.5333,NA,0.5483,NA,0.4779,0.4231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5708,NA,0.4948,NA,"latest"
"166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0698,0.0579,0.0579,0.9302,0.8926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8926,0.8,0.7973,0.7973,NA,NA,NA,1,NA,0.6842,"latest"
"167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8603,0.6089,0.6089,0.8603,0.8039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8039,0.7254,0.7017,0.7017,NA,NA,NA,0.86,NA,0.8608,"latest"
"168",NA,NA,NA,0.5253,0.4675,NA,NA,0,NA,0.3667,NA,0.625,NA,NA,0,NA,0.5,0.5766,NA,0.4675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,0.58,NA,"latest"
"169",NA,NA,NA,0.4,0.413,0.25,NA,0.4583,NA,0.2821,NA,0.3824,NA,1,0,0.4706,0.3125,0.4174,NA,0.413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1111,NA,0.3727,NA,0.4336,NA,"latest"
"170",NA,NA,NA,0.325,0.3039,0.5,NA,0.4096,NA,0.1614,NA,0.2265,NA,0.25,0.3,0.2459,0.5,0.3614,NA,0.3039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3494,NA,0.2768,NA,0.3994,NA,"latest"
"171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.404,0.4249,0.4249,0.4967,0.4902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4902,0.4839,0.471,0.471,NA,NA,NA,0.4579,NA,0.5909,"latest"
"172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5556,0.5347,0.5347,0.6017,0.5779,0.7778,NA,0.6316,NA,NA,0.6212,0.5449,NA,0.5,NA,0.6111,NA,NA,0.6161,0.5779,0.5582,0.5533,0.5533,NA,NA,NA,0.5618,NA,0.6166,"latest"
"173",0.6667,0.6216,0.6216,0.6667,0.6757,NA,NA,NA,NA,1,NA,0.5,NA,NA,NA,NA,NA,0.75,NA,0.6757,0.5428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,0.7143,NA,"latest"
"174",0.1553,0.2057,0.2057,0.3194,0.3539,0.25,NA,0,NA,0.2824,NA,0.2963,NA,NA,0.5,0.3333,0,0.3906,NA,0.3539,0.3402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3704,NA,0.2774,NA,0.4815,NA,"latest"
